Player 0, Player 1, Player 2, Player 3
64, 14, 12, 10, 
55, 14, 15, 16, 
51, 17, 13, 19, 
56, 12, 12, 20, 
57, 11, 15, 17, 
58, 16, 16, 10, 
55, 21, 8, 16, 
49, 18, 18, 15, 
42, 21, 17, 20, 
54, 8, 22, 16, 
58, 12, 19, 11, 
45, 15, 24, 16, 
52, 14, 18, 16, 
58, 14, 19, 9, 
55, 17, 15, 13, 
50, 15, 14, 21, 
54, 20, 14, 12, 
54, 14, 13, 19, 
59, 10, 17, 14, 
47, 15, 20, 18, 
57, 22, 8, 13, 
51, 14, 18, 17, 
50, 17, 16, 17, 
52, 14, 19, 15, 
52, 17, 13, 18, 
55, 12, 23, 10, 
53, 19, 17, 11, 
53, 14, 15, 18, 
48, 14, 20, 18, 
51, 21, 16, 12, 
50, 17, 13, 20, 
56, 11, 18, 15, 
48, 18, 13, 21, 
49, 13, 16, 22, 
54, 13, 16, 17, 
52, 13, 21, 14, 
47, 10, 24, 19, 
47, 22, 18, 13, 
46, 22, 14, 18, 
53, 13, 18, 16, 
41, 21, 20, 18, 
50, 19, 16, 15, 
46, 19, 18, 17, 
58, 19, 8, 15, 
54, 26, 11, 9, 
50, 21, 16, 13, 
48, 19, 13, 20, 
54, 10, 23, 13, 
51, 19, 18, 12, 
51, 15, 18, 16, 
60, 13, 13, 14, 
57, 15, 13, 15, 
59, 14, 14, 13, 
57, 11, 18, 14, 
51, 19, 15, 15, 
47, 17, 15, 21, 
51, 18, 17, 14, 
41, 20, 16, 23, 
46, 18, 20, 16, 
47, 15, 19, 19, 
51, 11, 15, 23, 
64, 9, 15, 12, 
45, 19, 16, 20, 
53, 16, 13, 18, 
52, 17, 18, 13, 
42, 23, 16, 19, 
51, 16, 17, 16, 
54, 19, 12, 15, 
51, 21, 12, 16, 
50, 15, 15, 20, 
48, 16, 17, 19, 
52, 23, 8, 17, 
54, 20, 15, 11, 
49, 13, 19, 19, 
58, 12, 20, 10, 
46, 10, 22, 22, 
57, 16, 16, 11, 
45, 21, 15, 19, 
51, 22, 13, 14, 
54, 13, 16, 17, 
57, 20, 13, 10, 
43, 16, 20, 21, 
49, 21, 13, 17, 
46, 21, 17, 16, 
52, 17, 12, 19, 
52, 23, 15, 10, 
52, 16, 17, 15, 
52, 16, 16, 16, 
48, 16, 19, 17, 
47, 19, 12, 22, 
53, 14, 16, 17, 
57, 19, 16, 8, 
48, 15, 20, 17, 
42, 27, 13, 18, 
55, 17, 18, 10, 
53, 15, 17, 15, 
48, 21, 17, 14, 
